//基佬们的奇妙之旅翻译测试第一次
"Console_T"
{
		"** CURRENT LEVEL: BEN SEA **"
		"chi"               " ** 再坚持一会 这么坚固里面一定有好东西 **"
		}
		"** Who will see the dawn? **"
		{
		"chi"               " ** 哇！里面竟然是岩浆池 不管了先进去 **"
		}
		"** There are seven eyes. Seven eyes. Seven eyes. **"
		{
		"chi"               " ** 我想这应该就是旅途终点的大门了吧 **"
		}
		"** The eyes are shattered like glass. The glass sings like the rain. The rain is old and knows no more. **"
		{
		"chi"               " ** 但是这门应该怎么打开呢？ **"
		}
		"** Where did all the people go? Only pale blue shadows I seem to know... **"
		{
		"chi"               " ** 等等 我听到大门开启的声音了 再坚持下 **"
		}
		"** Interdimensional wooden vortex has been acquired. **"
		{
		"chi"               " ** 看起来很坚固的木墙已获取 **"
		}
		"** Latin-american seagull launcher has been acquired. **"
		{
		"chi"               " ** 愤怒的小鸟发射器已获取 **"
		}
		"** Secret italian pomodoro seeds have been acquired. **"
		{
		"chi"               " ** 食人花已获取 **"
		}
		"** An endless diary of empty thoughts has been acquired. **"
		{
		"chi"               " ** 死亡笔记已获取 **"
		}
		"** Flaming hot penis has been picked up. **"
		{
		"chi"               " ** 火焰大dio已获取 **"
		}
		"** Thick banana juice has been acquired. **"
		{
		"chi"               " ** 奇妙的香蕉汁已获取 **"
		}
		"** Tenderloving Stanley Kubrick soul has been captured. **"
		{
		"chi"               " ** 冷漠的恶灵已获取 **"
		}
		"** ASSAMUTH HAS EATEN HABANEROS! IT BURNS! **"
		{
		"chi"               " ** 当心！大皮炎子喷出了火焰！ **"
		}
		"** ASSAMUTH HAS RECOVERED HIS SHITPOINTS **"
		{
		"chi"               " ** 大皮炎子恢复了部分血量 **"
		}
		"** ASSAMUTH HAS TURDFARTED! BREAK THE TURD! **"
		{
		"chi"               " ** 大皮炎子释放了shit墙 打碎他 **"
		}
		"** ASSAMUTH HAS EATEN BLADE RUNNER NEON LASER TACOS! JUMP! **"
		{
		"chi"               " ** 当心！大皮炎子释放了屁刀  **"
		}
		"** ASSAMUTH HAS DEVOURED THE ENERGY THAT KEEPS ZOMBIES OUT! HOLD 'EM! **"
		{
		"chi"               " ** 当心！大皮炎子吸收了阻挡尸笼的屏障 **"
		}
		"** ASSAMUTH HAS CALLED HIS BUDDY STANLEY TO FUCK YO BUM! **"
		{
		"chi"               " ** 哦不！大皮炎子释放了鬼脸终极 我们太慢了 **"
		}
		"** ASSAMUTH HAS SWALLOWED A TORNADO AND IT'S COMING OUT NOW! **"
		{
		"chi"               " ** 当心！大皮炎子释放了白给放屁 **"
		}
		"** ASSAMUTH HAS EATEN QUANTUM MECHANICS! IS IT THERE EVEN? **"
		{
		"chi"               " ** 当心！别被大皮炎子吸进去了 **"
		}
		"** ASSAMUTH HAS EATEN A COMPUTER SANDWICH! HE POOPS CIRCUITS! **"
		{
		"chi"               " ** 当心别被大皮炎子拉出来的shit撞死了 **"
		}
		"** CURRENT LEVEL: BEARMAN 'N THY GANG **"
		{
		"chi"               " ** 难度：击剑好手 **"
		}
		"** CURRENT LEVEL: SMURF MCTAVISH **"
		{
		"chi"               " ** 难度：击剑高手 **"
		}
		"** CURRENT LEVEL: FRINICKY POOPER **"
		{
		"chi"               " ** 难度：击剑King **"
		}
		"** LEVEL CHANGED TO FICKEROO SMITH TALES **"
		{
		"chi"               " ** 管理员已更改 难度：初识击剑 **"
		}
		"** LEVEL CHANGED TO SAMMY SON SLICK **"
		{
		"chi"               " ** 管理员已更改 难度：击剑好手 **"
		}
		"** LEVEL CHANGED TO THIRSTY POE CROW-DEAD **"
		{
		"chi"               " ** 管理员已更改 难度：击剑高手 **"
		}
		"** LEVEL CHANGED TO FOURIER'S FINISHED FEAST FOOD **"
		{
		"chi"               " ** 管理员已更改 难度：击剑King **"
		}
		"** This... is... **"
		{
		"chi"               " ** 其实这已经... **"
		}
		"** The end... **"
		{
		"chi"               " ** 结束了... **"
		}
		"** GREAT! THE HAWAIIAN COCONUT PARTY KEEPS GOING WITH THE FUNKY BEAT NEXT LEVEL! **"
		{
		"chi"               " ** 太好了！击剑等级又提高了 **"
		}
		"** THAT WAS BEAUTIFUL! TOO BAD YOU DIDN'T GET ENOUGH DOOM IN YOUR TUM-TUM! **"
		{
		"chi"               " ** 棒极了！但是你还差点什么... **"
		}
		"** WOAH THERE! PERHAPS THIS WILL BE TOO MUCH FOR YA NOW! **"
		{
		"chi"               " ** 太棒了！这难度或许对你来说有点过分 **"
		}
		"** HOLD! THE BRIDGE ENDS RIGHT HERE BUT THAT'S NO BIGGIE! **"
		{
		"chi"               " ** 我们过不去了 这难道就是旅途的终点了嘛 **"
		}
		"** KEEP IT UP! IT'LL BE DONE SOON - WHATEVER IT IS! **"
		{
		"chi"               " ** 别急总会有办法的 再坚持一会 **"
		}
		"** ZOMBIES HAVE INFECTED THE TROPICAL PARTY SOFA SPACESHIP! **"
		{
		"chi"               " ** 哦不！僵尸感染了基佬们的船 **"
		}
		"** INVALID VICTORY! **"
		{
		"chi"               " ** 无效的胜利！ **"
		}
		"** OH NO! IT'S OVER! THE KUBRICKIFICATION HAS BEGUN! **"
		{
		"chi"               " ** 哦不！我们太慢了！ **"
		}
		"** NO! THE ASSHOLE OF THE UNIVERSE IS GOING TO SWALLOW US INTO NOT BEING! **"
		{
		"chi"               " ** 哦不！我们要被吞噬虚无化了！ **"
		}
		"** The universe is collapsing because you were too slow to get to the party van... **"
		{
		"chi"               " ** 我们太慢了 这样的速度是无法成为击剑高手的... **"
		}
		"** WE DID IT! WE KILLED THE UNEXPECTED GUEST! **"
		{
		"chi"               " ** 我们做到了！这个不速之客被我们干掉了！快上船！ **"
		}
		"** Explosive kamikaze bum-bum has been acquired! **"
		{
		"chi"               " ** 僵尸圣战已获取 **"
		}
		"** Twinkle flavoured butter has been acquired! **"
		{
		"chi"               " ** 僵尸高跳已获取 **"
		}
		"** Zombie silhouetting kit has been acquired! **"
		{
		"chi"               " ** 僵尸干扰已获取 **"
		}
		"** Deep fried jelly bean ecstasy has been acquired! **"
		{
		"chi"               " ** 僵尸奶已获取 **"
		}
		"** WOOPER DOOPER! **"
		{
		"chi"               " ** 管理员按下核爆按钮 **"
		}
}
